,CAGR,Ann. Vol,Sharpe,Max Drawdown
Buy & Hold,0.10663983483900763,0.19078982805666125,0.5310987979341434,-0.5518943091868418
Pure Rolling (0bps),0.08204871977044004,0.11092625825913678,0.7108885503073056,-0.2690366447583674
Pure Rolling (2bps),0.08036033809568255,0.11092392607761846,0.6968256047784976,-0.27034231493134653
Pure Rolling (5bps),0.07783270394344122,0.11092094664140026,0.6757269169243827,-0.27229644856186885
Pure Rolling (10bps),0.07363311509346215,0.11091736459460594,0.6405519273513134,-0.27554171494600277
Pure GARCH (0bps),0.07308031873222443,0.10073871143045253,0.7001609828956753,-0.2610678046883673
Pure GARCH (2bps),0.07074346296688883,0.10073862054864711,0.6785206311638303,-0.2628278862922695
Pure GARCH (5bps),0.06724771771071203,0.10073893281599927,0.64605715345223,-0.26546015110032173
Pure GARCH (10bps),0.061446819101481864,0.10074064948406028,0.591944775504806,-0.2698263886119938
Hybrid (0bps),0.08239649498277735,0.11100874332631332,0.7132551662720382,-0.2587025010958599
Hybrid (2bps),0.08038938919989014,0.11100677498138126,0.6965477712835175,-0.2600960261862669
Hybrid (5bps),0.07738570676129419,0.11100436797253632,0.671482267948069,-0.26218140358774034
Hybrid (10bps),0.07239811521378137,0.11100181107860113,0.6296957604441874,-0.2670823177674926
